"tollgate_id","time_window","direction","volume"
"1","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0","46"
"1","[2016-09-19 08:00:00,2016-09-19 08:20:00)","1","123"
"3","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0","161"
"3","[2016-09-19 08:00:00,2016-09-19 08:20:00)","1","118"
"2","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0","129"
"1","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0","56"
"1","[2016-09-19 08:20:00,2016-09-19 08:40:00)","1","119"
"3","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0","167"
"3","[2016-09-19 08:20:00,2016-09-19 08:40:00)","1","168"
"2","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0","122"
"1","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0","41"
"1","[2016-09-19 08:40:00,2016-09-19 09:00:00)","1","116"
"3","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0","138"
"3","[2016-09-19 08:40:00,2016-09-19 09:00:00)","1","161"
"2","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0","98"
"1","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0","50"
"1","[2016-09-19 09:00:00,2016-09-19 09:20:00)","1","120"
"3","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0","174"
"3","[2016-09-19 09:00:00,2016-09-19 09:20:00)","1","145"
"2","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0","89"
"1","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0","49"
"1","[2016-09-19 09:20:00,2016-09-19 09:40:00)","1","151"
"3","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0","144"
"3","[2016-09-19 09:20:00,2016-09-19 09:40:00)","1","125"
"2","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0","78"
"1","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0","44"
"1","[2016-09-19 09:40:00,2016-09-19 10:00:00)","1","131"
"3","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0","148"
"3","[2016-09-19 09:40:00,2016-09-19 10:00:00)","1","116"
"2","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0","59"
"1","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0","36"
"1","[2016-09-19 17:00:00,2016-09-19 17:20:00)","1","96"
"3","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0","110"
"3","[2016-09-19 17:00:00,2016-09-19 17:20:00)","1","86"
"2","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0","85"
"1","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0","34"
"1","[2016-09-19 17:20:00,2016-09-19 17:40:00)","1","116"
"3","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0","118"
"3","[2016-09-19 17:20:00,2016-09-19 17:40:00)","1","85"
"2","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0","72"
"1","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0","24"
"1","[2016-09-19 17:40:00,2016-09-19 18:00:00)","1","112"
"3","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0","95"
"3","[2016-09-19 17:40:00,2016-09-19 18:00:00)","1","91"
"2","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0","53"
"1","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0","29"
"1","[2016-09-19 18:00:00,2016-09-19 18:20:00)","1","67"
